mac,device,source
e0:76:d0:3f:00:ae,August Doorbell Cam,kostas_unsw
70:88:6b:10:0f:c6,Awair air quality monitor,kostas_unsw
b4:75:0e:ec:e5:a9,Belkin Camera,kostas_unsw
7c:70:bc:5d:5e:dc,Canary Camera,kostas_unsw
6c:ad:f8:5e:e4:61,Google Chromecast,kostas_unsw
28:c2:dd:ff:a5:2d,Hello Barbie,kostas_unsw
00:17:88:2b:9a:25,Phillip Hue Lightbulb,kostas_unsw
88:4a:ea:31:66:9d,Ring Door Bell,kostas_unsw
e8:ab:fa:19:de:4f,unknown maybe cam,kostas_unsw
00:24:e4:10:ee:4c,Withings Baby Monitor 2,kostas_unsw
