profile,feature,dtype,family,is_model_feature
flow_only,dst_port,int64,protocol_application,True
flow_only,protocol,int64,protocol_application,True
flow_only,bidirectional_duration_ms,int64,timing,True
flow_only,bidirectional_packets,int64,size_volume,True
flow_only,bidirectional_bytes,int64,size_volume,True
flow_only,src2dst_duration_ms,int64,timing,True
flow_only,src2dst_packets,int64,size_volume,True
flow_only,src2dst_bytes,int64,size_volume,True
flow_only,dst2src_duration_ms,int64,timing,True
flow_only,dst2src_packets,int64,size_volume,True
flow_only,dst2src_bytes,int64,size_volume,True
flow_only,bidirectional_min_ps,int64,size_volume,True
flow_only,bidirectional_mean_ps,float64,size_volume,True
flow_only,bidirectional_stddev_ps,float64,size_volume,True
flow_only,bidirectional_max_ps,int64,size_volume,True
flow_only,src2dst_min_ps,int64,size_volume,True
flow_only,src2dst_mean_ps,float64,size_volume,True
flow_only,src2dst_stddev_ps,float64,size_volume,True
flow_only,src2dst_max_ps,int64,size_volume,True
flow_only,dst2src_min_ps,int64,size_volume,True
flow_only,dst2src_mean_ps,float64,size_volume,True
flow_only,dst2src_stddev_ps,float64,size_volume,True
flow_only,dst2src_max_ps,int64,size_volume,True
flow_only,bidirectional_min_piat_ms,int64,timing,True
flow_only,bidirectional_mean_piat_ms,float64,timing,True
flow_only,bidirectional_stddev_piat_ms,float64,timing,True
flow_only,bidirectional_max_piat_ms,int64,timing,True
flow_only,src2dst_min_piat_ms,int64,timing,True
flow_only,src2dst_mean_piat_ms,float64,timing,True
flow_only,src2dst_stddev_piat_ms,float64,timing,True
flow_only,src2dst_max_piat_ms,int64,timing,True
flow_only,dst2src_min_piat_ms,int64,timing,True
flow_only,dst2src_mean_piat_ms,float64,timing,True
flow_only,dst2src_stddev_piat_ms,float64,timing,True
flow_only,dst2src_max_piat_ms,int64,timing,True
flow_only,bidirectional_syn_packets,int64,tcp_flags,True
flow_only,bidirectional_cwr_packets,int64,tcp_flags,True
flow_only,bidirectional_ece_packets,int64,tcp_flags,True
flow_only,bidirectional_ack_packets,int64,tcp_flags,True
flow_only,bidirectional_psh_packets,int64,tcp_flags,True
flow_only,bidirectional_rst_packets,int64,tcp_flags,True
flow_only,bidirectional_fin_packets,int64,tcp_flags,True
flow_only,src2dst_syn_packets,int64,tcp_flags,True
flow_only,src2dst_cwr_packets,int64,tcp_flags,True
flow_only,src2dst_ece_packets,int64,tcp_flags,True
flow_only,src2dst_ack_packets,int64,tcp_flags,True
flow_only,src2dst_psh_packets,int64,tcp_flags,True
flow_only,src2dst_rst_packets,int64,tcp_flags,True
flow_only,src2dst_fin_packets,int64,tcp_flags,True
flow_only,dst2src_syn_packets,int64,tcp_flags,True
flow_only,dst2src_cwr_packets,int64,tcp_flags,True
flow_only,dst2src_ece_packets,int64,tcp_flags,True
flow_only,dst2src_ack_packets,int64,tcp_flags,True
flow_only,dst2src_psh_packets,int64,tcp_flags,True
flow_only,dst2src_rst_packets,int64,tcp_flags,True
flow_only,dst2src_fin_packets,int64,tcp_flags,True
flow_only,application_is_guessed,int64,protocol_application,True
flow_only,application_confidence,int64,protocol_application,True
flow_only,source_file,object,metadata_or_label,False
flow_only,device,object,metadata_or_label,False
