,Amazon Echo,Android Phone,Belkin Wemo switch,Belkin wemo motion sensor,Blipcare Blood Pressure meter,Dropcam,HP Printer,IPhone,Insteon Camera,Laptop,Light Bulbs LiFX Smart Bulb,MacBook,MacBook/Iphone,NEST Protect smoke alarm,Nest Dropcam,Netatmo Welcome,Netatmo weather station,PIX-STAR Photo-frame,Samsung Galaxy Tab,Samsung SmartCam,Smart Things,TP-Link Day Night Cloud camera,TP-Link Smart plug,TPLink Router Bridge LAN (Gateway),Triby Speaker,Withings Aura smart sleep sensor,Withings Smart Baby Monitor,Withings Smart scale,iHome
Amazon Echo,5175,28,0,1,0,6,2,860,40,39,31,3482,0,0,602,2,0,9,34761,62,2781,1,2,2060,5,3,47,0,1
Android Phone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belkin Wemo switch,50,164,363,143,0,2,3,591,28,65,34,5781,1,0,218,89,0,1,6728,2509,140,2,3,4170,75,2,6,0,2
Belkin wemo motion sensor,707,484,878,342,0,2,4,894,62,143,63,15772,3,0,507,795,1,2,6374,6283,318,8,6,4663,18,5,13,0,13
Blipcare Blood Pressure meter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dropcam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HP Printer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPhone,98,542,14,1644,0,0,6,0,19,1112,8,1486,10,0,0,85,3,36,7194,22,41,2,2,2979,6,6,15,0,1
Insteon Camera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Light Bulbs LiFX Smart Bulb,5,12,0,0,0,0,121,886,9,1564,26,1671,0,0,15,5,0,8,27175,32,13,1,5,1857,2,4,13,0,0
MacBook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MacBook/Iphone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEST Protect smoke alarm,0,4,0,0,0,0,0,0,0,0,0,4,0,41,0,6,4,0,0,0,0,0,0,22,0,0,0,0,1
Nest Dropcam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netatmo Welcome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netatmo weather station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIX-STAR Photo-frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samsung Galaxy Tab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samsung SmartCam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smart Things,5,432,0,977,0,1,1,151,9,430,1,9941,0,0,48,0,0,0,37690,5,2,0,1,301,2,0,1,0,2
TP-Link Day Night Cloud camera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP-Link Smart plug,0,5,0,0,0,0,4,549,9,83,16,200,0,0,0,3,2,8,18259,24,10,1,4,1313,2,0,8,0,0
TPLink Router Bridge LAN (Gateway),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triby Speaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withings Aura smart sleep sensor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withings Smart Baby Monitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withings Smart scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iHome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
